LAMMPS data file — 125 H2O air/water slab  15.5215 × 15.5215 × 46.5646 Å  z_mult=3.0  (generated by build_slab.py)

375 atoms
2 atom types
250 bonds
1 bond types
125 angles
1 angle types

0 15.521529 xlo xhi
0 15.521529 ylo yhi
0 46.564587 zlo zhi

Masses

1 15.9994
2 1.00794

Atoms # full

   163     55 1  -1.1128     4.64600000     3.44600000    25.84852900 0 0 0
   164     55 2   0.5564     5.18300000     3.38000000    26.69052900 0 0 0
   165     55 2   0.5564     3.69000000     3.62400000    26.07652900 0 0 0
   166     56 1  -1.1128     1.88200000    10.93500000    21.93852900 0 0 0
   167     56 2   0.5564     1.02800000    11.15800000    22.40952900 0 0 0
   168     56 2   0.5564     2.41600000    11.76900000    21.80352900 0 0 0
   169     57 1  -1.1128     4.15400000     4.80700000    30.04252900 0 0 0
   170     57 2   0.5564     5.10300000     5.12300000    30.03052900 0 0 0
   171     57 2   0.5564     3.53900000     5.59400000    30.00652900 0 0 0
   172     58 1  -1.1128     5.97200000     4.71500000    20.98052900 0 0 0
   173     58 2   0.5564     6.51700000     4.19500000    21.63852900 0 0 0
   174     58 2   0.5564     5.25600000     5.21700000    21.46452900 0 0 0
   175     59 1  -1.1128     9.03200000    11.17700000    24.21052900 0 0 0
   176     59 2   0.5564     8.36900000    10.43100000    24.13952900 0 0 0
   177     59 2   0.5564     8.72800000    11.82800000    24.90552900 0 0 0
   178     60 1  -1.1128     1.62900000     6.54600000    29.04752900 0 0 0
   179     60 2   0.5564     1.43700000     6.85400000    29.97952900 0 0 0
   180     60 2   0.5564     1.08800000     5.73000000    28.84752900 0 0 0
   181     61 1  -1.1128    14.55100000     7.97300000    24.90252900 0 0 0
   182     61 2   0.5564    13.96700000     7.20800000    25.17652900 0 0 0
   183     61 2   0.5564    13.98000000     8.73800000    24.60552900 0 0 0
   184     62 1  -1.1128    13.48800000    11.65300000    29.42052900 0 0 0
   185     62 2   0.5564    14.18800000    12.35900000    29.52652900 0 0 0
   186     62 2   0.5564    13.92300000    10.75300000    29.39552900 0 0 0
   187     63 1  -1.1128    13.15400000     1.57300000    28.53852900 0 0 0
   188     63 2   0.5564    13.95500000     0.99800000    28.70652900 0 0 0
   189     63 2   0.5564    12.38000000     0.99700000    28.27752900 0 0 0
   190     64 1  -1.1128     8.04000000    10.69900000    30.03552900 0 0 0
   191     64 2   0.5564     7.60500000    11.60000000    30.02352900 0 0 0
   192     64 2   0.5564     8.85600000    10.71500000    29.45852900 0 0 0
   193     65 1  -1.1128     9.22500000     3.35100000    20.56752900 0 0 0
   194     65 2   0.5564     8.40000000     3.89000000    20.39852900 0 0 0
   195     65 2   0.5564     9.36300000     2.70700000    19.81552900 0 0 0
   196     66 1  -1.1128    12.01300000    10.55400000    21.05852900 0 0 0
   197     66 2   0.5564    12.24500000    10.89000000    20.14552900 0 0 0
   198     66 2   0.5564    11.44000000    11.22600000    21.52652900 0 0 0
   199     67 1  -1.1128     3.64600000     4.39200000    16.95252900 0 0 0
   200     67 2   0.5564     4.27300000     5.04200000    16.52152900 0 0 0
   201     67 2   0.5564     2.72600000     4.52200000    16.58452900 0 0 0
   202     68 1  -1.1128    14.52300000     7.10300000    19.83852900 0 0 0
   203     68 2   0.5564    14.28200000     7.82600000    19.19052900 0 0 0
   204     68 2   0.5564    14.31900000     7.40700000    20.76852900 0 0 0
   205     69 1  -1.1128     7.05100000     2.95000000    28.45752900 0 0 0
   206     69 2   0.5564     6.60400000     3.83100000    28.30652900 0 0 0
   207     69 2   0.5564     8.04200000     3.06500000    28.40652900 0 0 0
   208     70 1  -1.1128     7.60100000     2.94900000    25.79952900 0 0 0
   209     70 2   0.5564     8.48700000     3.09200000    26.23952900 0 0 0
   210     70 2   0.5564     7.11600000     3.82100000    25.73552900 0 0 0
   211     71 1  -1.1128     6.08900000    11.27000000    19.38552900 0 0 0
   212     71 2   0.5564     6.61200000    10.96100000    20.18052900 0 0 0
   213     71 2   0.5564     5.12700000    11.02800000    19.50352900 0 0 0
   214     72 1  -1.1128     6.91200000    12.35600000    21.85352900 0 0 0
   215     72 2   0.5564     5.94800000    12.32500000    22.11652900 0 0 0
   216     72 2   0.5564     7.20300000    13.30700000    21.76052900 0 0 0
   217     73 1  -1.1128     6.37300000     9.41500000    23.18252900 0 0 0
   218     73 2   0.5564     5.42700000     9.09200000    23.15852900 0 0 0
   219     73 2   0.5564     6.38500000    10.41400000    23.18852900 0 0 0
   220     74 1  -1.1128     8.86300000    12.55700000    16.70952900 0 0 0
   221     74 2   0.5564     7.99900000    12.09000000    16.51952900 0 0 0
